,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
1212,Panasonic Eluga Turbo,Panasonic,Eluga Turbo,2350,5.00,Yes,720,1280,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,13988
1213,Swipe Virtue,Swipe,Virtue,2500,5.00,No,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,3599
1214,Lava P7,Lava,P7,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,No,2,Yes,No,3449
1215,Intex Aqua Air II,Intex,Aqua Air II,2300,5.00,Yes,480,854,2,1000,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4690
1216,Lava Iris Atom,Lava,Iris Atom,1550,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,5199
1217,Intex Cloud 4G Smart,Intex,Cloud 4G Smart,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4777
1218,Intex Cloud 3G Gem,Intex,Cloud 3G Gem,1400,4.00,Yes,480,800,1,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2399
1219,Intex Cloud 3G Candy,Intex,Cloud 3G Candy,1400,4.00,Yes,480,800,1,256,0.512,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,1999
1220,Lenovo A7000 Turbo,Lenovo,A7000 Turbo,2900,5.50,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,14000
1221,Karbonn K9 Smart,Karbonn,K9 Smart,2300,5.00,Yes,480,854,4,512,8.000,3.20,1.30,Android,Yes,Yes,Yes,2,Yes,No,4690
1222,Alcatel Pixi 4 (6),Alcatel,Pixi 4 (6),2580,6.00,Yes,720,1280,4,1000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3998
1223,LG K7,LG,K7,2125,5.00,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,1,Yes,No,994
1224,LG K10,LG,K10,2300,5.30,Yes,720,1280,4,1000,8.000,13.00,5.00,Android,Yes,Yes,Yes,1,Yes,No,3994
1225,Intex Cloud Champ,Intex,Cloud Champ,1700,4.50,Yes,480,854,2,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3800
1226,Lava Iris Atom 3,Lava,Iris Atom 3,2000,5.00,Yes,480,854,4,512,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2899
1227,Intex Aqua Q7 Pro,Intex,Aqua Q7 Pro,2000,4.50,Yes,480,854,4,1000,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4290
1228,Karbonn Titanium Moghul,Karbonn,Titanium Moghul,2000,5.00,Yes,540,960,4,1000,8.000,8.00,3.20,Android,Yes,Yes,Yes,2,Yes,No,8700
1229,Xolo One HD,Xolo,One HD,2300,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,7999
1230,Zen Cinemax 2,Zen,Cinemax 2,2900,5.50,Yes,540,960,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3739
1231,Videocon Z55 Krypton,Videocon,Z55 Krypton,2200,5.00,Yes,720,1280,4,1000,8.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,2950
1232,Intex Aqua Star 4G,Intex,Aqua Star 4G,2000,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4699
1233,Intex Cloud Cube,Intex,Cloud Cube,2000,4.50,Yes,480,854,4,512,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2199
1234,Kult 10,Kult,10,2350,5.00,Yes,720,1280,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
1235,Micromax Canvas Pulse 4G,Micromax,Canvas Pulse 4G,2100,5.00,Yes,720,1280,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4150
1236,Asus ZenPad C 7.0 (Z170MG),Asus,ZenPad C 7.0 (Z170MG),3450,7.00,No,1024,600,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,6199
1237,Xiaomi Redmi Note Prime,Xiaomi,Redmi Note Prime,3100,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8999
1238,iBall Andi 5.5H Weber,iBall,Andi 5.5H Weber,2200,5.50,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,No,No,3999
1239,Micromax Canvas Mega 4G,Micromax,Canvas Mega 4G,2500,5.50,Yes,720,1280,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4790
1240,Micromax Canvas Fire 4G+,Micromax,Canvas Fire 4G+,2000,4.70,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4990
1241,Gionee P5W,Gionee,P5W,2000,5.00,Yes,720,1280,8,1000,16.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,6999
1242,ZTE Blade A1,ZTE,Blade A1,2800,5.00,Yes,720,1280,8,2000,16.000,13.00,8.00,Android,Yes,Yes,No,2,Yes,No,2900
1243,Panasonic Eluga Mark,Panasonic,Eluga Mark,2500,5.50,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6990
1244,Samsung Galaxy A7 (2016),Samsung,Galaxy A7 (2016),3300,5.50,Yes,1080,1920,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,9999
1245,Videocon Z55 Delite,Videocon,Z55 Delite,2200,5.00,Yes,720,1280,8,1000,8.000,8.00,5.00,Android,Yes,Yes,No,2,Yes,No,6390
1246,Videocon Infinium Z45 Amaze,Videocon,Infinium Z45 Amaze,1600,4.50,Yes,480,854,4,1000,8.000,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,2999
1247,Micromax Canvas Pace 4G,Micromax,Canvas Pace 4G,2500,5.00,Yes,854,480,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,7499
1248,Lava X10,Lava,X10,2900,5.00,Yes,720,1280,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,12000
1249,Intex Cloud Zest,Intex,Cloud Zest,4000,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4999
1250,Lava Iris Atom 2X,Lava,Iris Atom 2X,2000,4.50,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2999
1251,Samsung Galaxy J3 (6),Samsung,Galaxy J3 (6),2600,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,4999
1252,Intex Aqua Air,Intex,Aqua Air,2300,5.00,Yes,480,854,2,512,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4090
1253,Micromax Canvas Xpress 4G,Micromax,Canvas Xpress 4G,2000,5.00,Yes,720,1280,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4050
1254,Micromax Canvas Blaze 4G+,Micromax,Canvas Blaze 4G+,1750,4.50,Yes,480,854,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3799
1255,Intex Aqua Super,Intex,Aqua Super,2150,5.00,Yes,720,1280,4,3000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,5849
1256,Intex Aqua Wave,Intex,Aqua Wave,1400,4.00,Yes,480,800,1,256,0.512,0.30,0.30,Android,Yes,Yes,Yes,2,Yes,No,2199
1257,Intex Aqua Q7,Intex,Aqua Q7,2000,4.50,Yes,480,854,4,512,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2199
1258,iBall Andi Sprinter 4G,iBall,Andi Sprinter 4G,2100,5.00,Yes,480,854,4,1000,8.000,8.00,3.20,Android,Yes,Yes,Yes,2,Yes,Yes,4699
1259,Gionee S Plus,Gionee,S Plus,3150,5.50,Yes,720,1280,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6490
1260,InFocus M535,InFocus,M535,2600,5.50,Yes,720,1280,4,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,6990
1261,HTC Desire 828 Dual SIM,HTC,Desire 828 Dual SIM,2800,5.50,Yes,1080,1920,8,2000,16.000,13.00,4.00,Android,Yes,Yes,Yes,2,Yes,Yes,7999
1262,HTC Desire 728G Dual SIM,HTC,Desire 728G Dual SIM,2800,5.50,Yes,720,1280,8,1000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,11586
1263,Intex Aqua Young,Intex,Aqua Young,2500,5.00,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4900
1264,Intex Aqua Play,Intex,Aqua Play,1400,4.00,Yes,480,800,2,512,8.000,0.30,0.30,Android,Yes,Yes,Yes,2,Yes,No,4299
1265,Xolo Black 1X,Xolo,Black 1X,2400,5.00,Yes,1080,1920,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9999
1266,InFocus M260,InFocus,M260,2000,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2490
1267,Karbonn Alfa A91 Power,Karbonn,Alfa A91 Power,2000,4.00,Yes,480,800,1,256,0.512,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2599
1268,Oppo Neo 7,Oppo,Neo 7,2420,5.00,Yes,540,960,4,1000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8200
1269,Samsung Galaxy On7,Samsung,Galaxy On7,3000,5.50,Yes,720,1280,4,1000,8.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9977
1270,Micromax Bolt Q332,Micromax,Bolt Q332,2000,5.00,Yes,480,854,4,512,2.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2399
1271,Samsung Galaxy On5,Samsung,Galaxy On5,2600,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4655
1272,Lenovo A1000,Lenovo,A1000,2000,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3549
1273,Lenovo A6000 Shot,Lenovo,A6000 Shot,2300,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5990
1274,Lava Iris Fuel F1,Lava,Iris Fuel F1,4000,5.00,Yes,480,854,4,2000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,8700
1275,Intex Aqua Life III,Intex,Aqua Life III,2000,5.00,Yes,720,1280,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,5300
1276,Intex Cloud Swift,Intex,Cloud Swift,2500,5.00,Yes,720,1280,4,3000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9300
1277,Zopo Speed 7 Plus,Zopo,Speed 7 Plus,3000,5.50,Yes,1080,1920,8,3000,16.000,13.20,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,6499
1278,Micromax Bolt S302,Micromax,Bolt S302,1450,4.00,Yes,480,800,4,512,4.000,2.00,1.30,Android,Yes,Yes,Yes,2,Yes,No,2240
1279,Micromax Bolt Q331,Micromax,Bolt Q331,2000,5.00,Yes,480,854,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1280,Samsung Z3,Samsung,Z3,2600,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Tizen,Yes,Yes,Yes,2,Yes,No,4990
1281,Panasonic P65 Flash,Panasonic,P65 Flash,2910,5.50,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,8499
1282,Panasonic P50 Idol,Panasonic,P50 Idol,2150,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3899
1283,ZTE Axon Mini,ZTE,Axon Mini,2800,5.20,Yes,1080,1920,8,3000,32.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,5900
1284,iBall Andi 4.5C Magnifico,iBall,Andi 4.5C Magnifico,1700,4.50,Yes,480,854,2,512,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3840
1285,Microsoft Lumia 550,Microsoft,Lumia 550,2100,4.70,Yes,720,1280,4,1000,8.000,5.00,2.00,Windows,Yes,Yes,Yes,1,Yes,Yes,5398
1286,Microsoft Lumia 950,Microsoft,Lumia 950,3000,5.20,Yes,1440,2560,6,3000,32.000,20.00,5.00,Windows,Yes,Yes,Yes,1,Yes,Yes,41390
1287,Microsoft Lumia 950 XL,Microsoft,Lumia 950 XL,3340,5.70,Yes,1440,2560,8,3000,32.000,20.00,5.00,Windows,Yes,Yes,Yes,1,Yes,Yes,24999
1288,Micromax Bolt Q339,Micromax,Bolt Q339,1650,4.50,Yes,480,854,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1289,LG V10,LG,V10,3000,5.70,Yes,1440,2560,6,4000,64.000,16.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,14999
1290,Videocon Infinium Z51 Punch,Videocon,Infinium Z51 Punch,3000,5.00,Yes,480,854,4,1000,1.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,5399
1291,Videocon Infinium Z51Q Star,Videocon,Infinium Z51Q Star,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2799
1292,Vivo Y15S,Vivo,Y15S,1900,4.50,Yes,854,480,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4999
1293,Samsung Galaxy J1 Ace,Samsung,Galaxy J1 Ace,1800,4.30,Yes,480,800,2,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4300
1294,Vivo Y27L,Vivo,Y27L,2260,4.70,Yes,720,1280,4,1000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9001
1295,Micromax Canvas Play 4G,Micromax,Canvas Play 4G,2820,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
1296,Lava Iris Fuel F1 Mini,Lava,Iris Fuel F1 Mini,2000,4.00,Yes,480,800,1,512,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2499
1297,Micromax Canvas Blaze 4G,Micromax,Canvas Blaze 4G,2000,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3199
1298,Gionee Pioneer P3S,Gionee,Pioneer P3S,2000,4.50,Yes,480,485,4,1000,16.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3299
1299,Micromax Bolt Q338,Micromax,Bolt Q338,2000,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,4970
1300,Intex Aqua Power II,Intex,Aqua Power II,4000,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,5990
1301,Micromax Canvas Juice 3+,Micromax,Canvas Juice 3+,4000,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,5990
1302,Intex Aqua Glam,Intex,Aqua Glam,1850,4.70,Yes,720,1280,4,1000,8.000,8.00,8.00,Android,Yes,Yes,Yes,2,Yes,No,4295
1303,iBall Cobalt Solus 4G,iBall,Cobalt Solus 4G,2000,5.00,Yes,720,1280,4,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,3999
1304,Micromax Canvas Juice 3,Micromax,Canvas Juice 3,4000,5.00,Yes,720,1280,4,2000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4290
1305,HTC Desire 728 Dual SIM,HTC,Desire 728 Dual SIM,2800,5.50,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,No,Yes,5999
1306,Lenovo Vibe P1m,Lenovo,Vibe P1m,3900,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6999
1307,Sony Xperia Z5 Premium Dual,Sony,Xperia Z5 Premium Dual,3430,5.50,Yes,2160,3840,8,3000,32.000,23.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,57500
1308,Acer Liquid Z530,Acer,Liquid Z530,2420,5.00,Yes,720,1280,4,2000,16.000,8.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,5750
1309,Micromax Canvas Fire 4G,Micromax,Canvas Fire 4G,1850,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3999
1310,Intex Cloud V,Intex,Cloud V,2000,5.00,Yes,480,854,4,512,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3699
1311,iBall Andi 4.5 O'Buddy,iBall,Andi 4.5 O'Buddy,1800,4.50,Yes,480,854,4,1000,1.000,8.00,3.20,Android,Yes,Yes,Yes,2,Yes,No,4995
1312,Videocon Z55 Dash,Videocon,Z55 Dash,2200,5.00,Yes,720,1280,8,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,5499
1313,Intex Aqua Turbo 4G,Intex,Aqua Turbo 4G,3000,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,5649
1314,Zopo Speed 7,Zopo,Speed 7,2500,5.00,Yes,1080,1920,8,3000,16.000,13.20,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3990
1315,Panasonic Eluga Switch,Panasonic,Eluga Switch,2910,5.50,Yes,1080,1920,8,2000,32.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,14990
1316,Intex Aqua 3G Neo,Intex,Aqua 3G Neo,1500,4.00,Yes,480,800,4,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2399
1317,Lenovo A2010,Lenovo,A2010,2000,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,6000
1318,Lava Flair P1i,Lava,Flair P1i,1400,4.00,Yes,400,800,1,256,0.512,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,2222
1319,Panasonic T45 4G,Panasonic,T45 4G,1800,4.50,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,Yes,4650
1320,Panasonic Eluga I2,Panasonic,Eluga I2,2000,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,5830
1321,Panasonic Eluga L2,Panasonic,Eluga L2,2500,5.50,Yes,540,960,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3990
1322,Lava Iris Atom 2,Lava,Iris Atom 2,1750,4.50,Yes,854,480,4,512,8.000,5.00,0.30,Android,Yes,Yes,No,1,Yes,No,4299
1323,iBall Andi 5U Platino,iBall,Andi 5U Platino,2000,5.00,Yes,540,960,4,512,8.000,8.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3499
1324,Intex Aqua Sense 5.0,Intex,Aqua Sense 5.0,2000,5.00,Yes,540,960,4,512,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3899
1325,Philips Xenium S309,Philips,Xenium S309,1600,4.00,Yes,480,800,2,512,4.000,5.00,0.30,Android,Yes,Yes,Yes,1,Yes,No,3199
1326,Intex Cloud Pace,Intex,Cloud Pace,1700,4.50,Yes,540,960,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,4499
1327,Blu Win HD LTE,Blu,Win HD LTE,2500,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Windows,Yes,Yes,No,2,Yes,Yes,4500
1328,Intex Aqua Q1+,Intex,Aqua Q1+,1600,4.50,Yes,480,854,4,512,8.000,5.00,1.30,Android,Yes,Yes,Yes,2,Yes,No,4449
1329,Intex Aqua Dream II,Intex,Aqua Dream II,2300,5.50,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,8200
1330,Asus ZenFone 2 Laser (ZE601KL),Asus,ZenFone 2 Laser (ZE601KL),3000,6.00,Yes,1080,1920,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8999
1331,Intex Cloud 4G Star,Intex,Cloud 4G Star,2300,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,No,Yes,5999
1332,Lava Iris X5 4G,Lava,Iris X5 4G,2500,5.00,Yes,720,1280,4,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,6999
1333,Asus ZenFone 2 Laser (ZE500KL),Asus,ZenFone 2 Laser (ZE500KL),2070,5.00,Yes,720,1280,4,2000,8.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5990
1334,Sony Xperia M5,Sony,Xperia M5,2600,5.00,Yes,1080,1920,8,3000,16.000,21.50,13.00,Android,Yes,Yes,Yes,1,Yes,Yes,5999
1335,Sony Xperia C5 Ultra,Sony,Xperia C5 Ultra,2930,6.00,Yes,1080,1920,8,2000,16.000,13.00,13.00,Android,Yes,Yes,Yes,1,Yes,Yes,25990
1336,Lava Iris X1 Selfie,Lava,Iris X1 Selfie,2000,4.50,Yes,854,480,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1337,InFocus M808,InFocus,M808,2450,5.20,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,No,1,Yes,Yes,4490
1338,Panasonic Love T10,Panasonic,Love T10,1400,3.50,Yes,480,800,2,512,4.000,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,2000
1339,iBall Andi HD6,iBall,Andi HD6,3000,6.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,No,2,Yes,No,5000
1340,Lava Flair Z1,Lava,Flair Z1,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1341,Intex Aqua Y2 Power,Intex,Aqua Y2 Power,2900,4.00,Yes,480,800,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4050
1342,LG Max,LG,Max,2540,5.00,Yes,480,854,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,3999
1343,Karbonn Titanium Mach One Plus,Karbonn,Titanium Mach One Plus,1800,4.70,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,3990
1344,Panasonic T33,Panasonic,T33,1500,4.00,Yes,480,800,4,512,4.000,3.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2990
1345,iBall Andi 3.5V Genius2,iBall,Andi 3.5V Genius2,1250,3.50,Yes,320,480,1,256,0.512,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2499
1346,Spice XLife 406,Spice,XLife 406,1450,4.00,Yes,480,800,1,512,4.000,3.20,1.30,Android,Yes,Yes,Yes,2,Yes,No,3500
1347,Micromax Bolt D303,Micromax,Bolt D303,1300,4.00,Yes,480,800,2,512,4.000,3.20,0.30,Android,Yes,Yes,Yes,2,Yes,No,2984
1348,Vivo V1,Vivo,V1,2300,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,15300
1349,Panasonic Eluga Z,Panasonic,Eluga Z,2050,5.00,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,5529
1350,Xolo Era,Xolo,Era,2100,5.00,Yes,854,480,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3699
1351,Intex Aqua Y2 Ultra,Intex,Aqua Y2 Ultra,1400,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3599
1352,Intex Aqua A2,Intex,Aqua A2,1500,4.00,Yes,480,800,4,512,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2599
1353,Videocon Infinium Z51 Nova+,Videocon,Infinium Z51 Nova+,2000,5.00,Yes,480,854,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,2940
1354,Intex Aqua Y4,Intex,Aqua Y4,1700,4.50,Yes,480,854,2,512,4.000,5.00,2.00,Android,Yes,Yes,No,2,Yes,No,2999
1355,iBall Andi4 B20,iBall,Andi4 B20,1250,4.00,Yes,480,800,1,256,0.512,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2498
1356,iBall Andi Avonte 5,iBall,Andi Avonte 5,2150,5.00,Yes,480,854,4,1000,8.000,8.00,0.00,Android,Yes,Yes,Yes,2,Yes,No,3999
