,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
948,LeEco Le Pro 3 Elite,LeEco,Le Pro 3 Elite,4070,5.50,Yes,1080,1920,4,4000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,10990
949,iVoomi iV505,iVoomi,iV505,3000,5.00,Yes,1440,2560,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3900
950,Swipe Elite Sense,Swipe,Elite Sense,2500,5.00,Yes,720,1280,4,3000,32.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,4400
951,Intex Aqua Strong 5.1+,Intex,Aqua Strong 5.1+,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,No,Yes,3690
952,Nubia N1 lite,Nubia,N1 lite,3000,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5999
953,ZTE Blade V8 Mini,ZTE,Blade V8 Mini,2800,5.00,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,No,No,5200
954,Alcatel A5 LED,Alcatel,A5 LED,2800,5.20,Yes,720,1280,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,15026
955,Sony Xperia XA1,Sony,Xperia XA1,2300,5.00,Yes,720,1280,8,3000,32.000,23.00,8.00,Android,Yes,Yes,No,2,No,Yes,7994
956,Swipe Elite 3,Swipe,Elite 3,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5999
957,Nokia 5,Nokia,5,3000,5.20,Yes,720,1280,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,8999
958,Swipe Konnect Star,Swipe,Konnect Star,1800,4.00,Yes,480,854,4,1000,16.000,5.00,1.30,Android,Yes,Yes,No,2,Yes,Yes,2690
959,Asus ZenFone Go 5.0 LTE (ZB500KL),Asus,ZenFone Go 5.0 LTE (ZB500KL),2600,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
960,Intex Aqua Lions 4G,Intex,Aqua Lions 4G,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4400
961,Intex Aqua 4.0,Intex,Aqua 4.0,1500,4.00,Yes,360,640,4,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,Yes,4095
962,Intex Aqua Amaze+,Intex,Aqua Amaze+,2000,4.70,Yes,720,1280,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4050
963,Swipe Elite Power,Swipe,Elite Power,4000,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
964,Lava X41+,Lava,X41+,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5599
965,Intex Cloud Style 4G,Intex,Cloud Style 4G,2500,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6199
966,Micromax Vdeo 3,Micromax,Vdeo 3,2000,5.00,Yes,720,1280,1,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,1,No,No,4499
967,Micromax Vdeo 4,Micromax,Vdeo 4,4000,5.00,Yes,720,1280,1,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,1,Yes,Yes,3999
968,Samsung Galaxy J2 Ace,Samsung,Galaxy J2 Ace,2600,5.00,Yes,540,960,1,1000,8.000,8.00,5.00,Android,Yes,No,No,2,No,No,5990
969,Swipe Konnect Grand,Swipe,Konnect Grand,2500,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,No,No,2999
970,Xolo Era 2X,Xolo,Era 2X,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6099
971,Lyf Water 3,Lyf,Water 3,3000,5.50,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,No,Yes,Yes,2,No,Yes,7000
972,Lyf F1S,Lyf,F1S,3000,5.20,Yes,1080,1920,8,3000,32.000,16.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7599
973,Karbonn K9 Viraat 4G,Karbonn,K9 Viraat 4G,2800,5.50,Yes,720,1280,4,1000,8.000,5.00,3.20,Android,Yes,Yes,Yes,2,Yes,Yes,5900
974,Lyf Wind 7S,Lyf,Wind 7S,2250,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6099
975,LG Stylus 3,LG,Stylus 3,3200,5.70,Yes,720,1280,8,3000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,6999
